Postcode,Bonds Held
2000,12133
2001,0
2002,0
2006,1
2007,3006
2008,6071
2009,3950
2010,10126
2011,9120
2012,5
2015,3038
2016,4542
2017,9910
2018,4038
2019,1964
2020,5292
2021,4098
2022,3551
2023,1647
2024,2046
2025,1340
2026,9885
2027,1826
2028,1198
2029,2147
2030,1398
2031,8020
2032,3425
2033,2880
2034,4581
2035,5286
2036,4596
2037,4851
2038,1926
2039,1586
2040,3674
2041,2759
2042,5537
2043,2489
2044,1341
2045,419
2046,3509
2047,1979
2048,1850
2049,3155
2050,3040
2057,0
2059,3
2060,4968
2061,2207
2062,1401
2063,469
2064,1955
2065,7925
2066,4707
2067,5800
2068,1597
2069,1138
2070,1282
2071,1099
2072,1247
2073,1079
2074,1243
2075,1191
2076,1309
2077,6557
2079,492
2080,61
2081,233
2082,186
2083,149
2084,131
2085,341
2086,687
2087,683
2088,4457
2089,3644
2090,3098
2092,313
2093,2440
2094,967
2095,4266
2096,2352
2097,1335
2098,2
2099,5986
2100,1578
2101,1974
2102,505
2103,945
2104,74
2105,91
2106,858
2107,831
2108,133
2110,612
2111,2192
2112,5932
2113,5489
2114,4759
2115,1118
2116,719
2117,2140
2118,2986
2119,606
2120,1390
2121,4716
2122,3971
2124,0
2125,650
2126,872
2127,5979
2128,412
2129,1
2130,2247
2131,5397
2132,1139
2133,1208
2134,4132
2135,4233
2136,1032
2137,3414
2138,4076
2140,4680
2141,4643
2142,4819
2143,927
2144,5645
2145,12394
2146,2132
2147,3252
2148,8971
2150,11367
2151,3263
2152,1337
2153,4289
2154,3190
2155,6143
2156,331
2157,177
2158,390
2159,178
2160,6024
2161,3826
2162,1675
2163,1133
2164,1811
2165,6122
2166,5804
2167,1014
2168,2816
2170,15099
2171,1971
2172,39
2173,980
2174,1333
2175,108
2176,2819
2177,940
2178,245
2179,1637
2190,1651
2191,466
2192,2418
2193,2720
2194,5161
2195,5537
2196,3472
2197,659
2198,518
2199,1785
2200,6514
2203,3512
2204,5350
2205,5105
2206,1453
2207,2254
2208,930
2209,1531
2210,2321
2211,1382
2212,1455
2213,1512
2214,147
2216,4926
2217,4981
2218,2403
2219,1473
2220,5111
2221,984
2222,1797
2223,2310
2224,956
2225,137
2226,692
2227,1159
2228,2367
2229,2428
2230,4816
2231,111
2232,3516
2233,1075
2234,776
2250,7945
2251,1780
2255,1
2256,2122
2257,3938
2258,305
2259,6075
2260,1898
2261,5765
2262,2063
2263,3569
2264,1575
2265,513
2267,275
2278,71
2280,1960
2281,1173
2282,1024
2283,1698
2284,1159
2285,2964
2286,257
2287,4339
2289,1852
2290,2797
2291,1621
2292,527
2293,817
2294,357
2295,735
2296,483
2297,299
2298,1813
2299,2200
2300,3448
2301,20
2302,398
2303,1339
2304,2637
2305,1305
2306,292
2307,628
2308,0
2309,1
2310,0
2311,29
2312,77
2315,1492
2316,361
2317,578
2318,729
2319,668
2320,3627
2321,1865
2322,2138
2323,2876
2324,2249
2325,2999
2326,480
2327,939
2328,188
2329,171
2330,1785
2333,2210
2334,254
2335,724
2336,208
2337,738
2338,107
2339,35
2340,6623
2341,174
2342,17
2343,413
2344,20
2345,24
2346,338
2347,142
2348,0
2350,3860
2352,255
2353,34
2354,190
2355,16
2356,6
2357,299
2358,334
2359,18
2360,1571
2361,59
2365,325
2369,39
2370,880
2371,43
2372,454
2379,8
2380,1446
2381,44
2382,173
2386,8
2387,7
2388,190
2390,1075
2395,19
2396,33
2397,13
2398,2
2399,26
2400,1376
2401,6
2402,99
2403,33
2404,116
2405,8
2406,39
2407,1
2408,12
2409,37
2410,5
2411,1
2415,25
2420,263
2421,42
2422,472
2423,170
2424,9
2425,90
2426,37
2427,289
2428,2651
2429,596
2430,3731
2431,578
2438,1
2439,136
2440,2027
2441,239
2443,781
2444,6283
2445,471
2446,956
2447,434
2448,1028
2449,101
2450,5446
2452,1553
2453,174
2454,488
2455,320
2456,1275
2460,2751
2462,208
2463,617
2464,831
2465,25
2466,230
2469,133
2470,1393
2471,121
2472,106
2473,518
2474,454
2475,30
2476,39
2477,985
2478,3179
2479,421
2480,4040
2481,1558
2482,573
2483,1109
2484,1479
2485,2241
2486,2159
2487,1329
2488,332
2489,592
2490,24
2500,8745
2502,1384
2505,745
2506,510
2508,413
2515,791
2516,334
2517,875
2518,2285
2519,1722
2520,9
2525,694
2526,931
2527,1621
2528,2339
2529,2452
2530,2064
2533,1107
2534,383
2535,378
2536,1923
2537,793
2538,98
2539,1478
2540,3497
2541,3813
2545,40
2546,717
2548,800
2549,192
2550,1021
2551,345
2555,8
2556,108
2557,1783
2558,661
2559,192
2560,8555
2563,44
2564,1106
2565,3001
2566,1925
2567,2445
2568,39
2569,36
2570,4902
2571,660
2572,460
2573,630
2574,275
2575,1364
