Postcode,Number of individuals lodging an income tax return,Median taxable income or loss,Median salary or wages,Average net rent,Median net rent,Median total income or loss,Count total deductions,Median total deductions,Average net tax,Median net tax,,,
800,"5,689","57,725","60,103","-1,650",-551,"60,480","5,689","1,118","17,211","11,139",,,
810,"22,159","59,964","63,656",-712,-446,"62,258","22,159","1,012","19,051","12,824",,,
812,"10,977","59,675","63,857","-1,180",-868,"61,871","10,977",900,"17,117","12,515",,,
820,"13,737","66,365","68,589",-93,-218,"69,148","13,737","1,144","22,449","14,335",,,
822,"7,052","39,800","38,166",-461,-242,"40,491","7,052",175,"12,430","6,922",,,
828,"1,018","63,473","64,974","1,895",298,"65,722","1,018","1,096","22,024","13,115",,,
829,444,"66,614","68,856","-2,664","-2,712","69,102",444,"2,050","12,412","11,462",,,
830,"11,309","61,879","65,657","-2,962","-2,118","64,080","11,309","1,014","16,987","12,904",,,
832,"11,748","67,409","70,501","-2,632","-2,069","69,907","11,748","1,327","17,494","14,048",,,
834,735,"63,501","67,026","-1,581",-152,"66,969",735,966,"20,438","14,720",,,
835,"2,760","65,592","70,722","-2,531","-1,756","67,980","2,760",984,"20,818","14,984",,,
836,"5,121","64,093","69,545","-1,609","-1,488","66,271","5,121",945,"19,093","14,109",,,
837,441,"56,578","65,551",-523,-598,"58,285",441,636,"16,208","11,470",,,
838,559,"63,864","68,886","-1,155",-708,"67,541",559,997,"18,259","14,559",,,
839,618,"63,410","65,592",-87,"-1,274","66,064",618,"1,124","17,503","13,015",,,
840,184,"38,413","59,423",-500,"-1,911","40,811",184,434,"15,404","10,693",,,
841,353,"60,163","64,094",-193,-36,"61,753",353,648,"16,724","13,138",,,
845,327,"47,041","53,042","1,865",466,"47,729",327,500,"16,410","9,418",,,
846,210,"46,208","49,269",453,896,"47,602",210,482,"17,955","8,407",,,
847,152,"43,744","47,756","8,960","6,577","44,343",152,300,"16,851","9,547",,,
850,"4,332","59,200","61,048",885,595,"61,211","4,332",707,"15,647","11,791",,,
852,"2,026","37,236","33,750",747,396,"38,337","2,026",40,"9,845","5,580",,,
853,517,"75,728","78,937",89,-23,"78,708",517,"1,711","16,328","15,464",,,
854,437,"42,770","40,608","1,501",-404,"43,260",437,200,"11,815","6,696",,,
860,"1,188","57,528","59,510",354,386,"60,094","1,188",948,"14,306","11,022",,,
862,303,"44,091","48,252","4,125","1,787","47,454",303,768,"8,844","5,764",,,
870,"13,836","61,797","63,692","2,134","1,130","64,355","13,836","1,044","17,102","12,500",,,
872,"3,673","38,284","32,891",75,330,"38,947","3,673",150,"9,931","5,071",,,
873,612,"59,892","61,555","1,545","2,250","63,044",612,"1,088","18,521","12,282",,,
874,204,"68,155","69,788",128,390,"70,700",204,"1,045","19,028","14,291",,,
875,803,"55,253","57,394",-997,369,"57,198",803,621,"14,956","11,135",,,
880,"1,336","54,796","56,662",29,261,"56,680","1,336",804,"18,371","12,408",,,
885,597,"80,568","85,872","-1,273",-455,"83,164",597,"1,135","26,810","21,804",,,
886,655,"60,235","61,200","-2,378",-121,"62,259",655,740,"16,867","11,761",,,
2000,"22,706","40,562","44,615",574,446,"42,890","22,706",641,"37,653","9,025",,,
2006,63,"64,392","63,386","-3,724","-1,321","69,381",63,480,"53,788","21,721",,,
2007,"5,222","39,486","43,038",-349,-328,"41,103","5,222",534,"17,211","7,875",,,
2008,"6,675","45,755","49,644",-52,-113,"47,501","6,675",592,"20,530","10,781",,,
2009,"9,039","61,173","67,416",146,306,"64,246","9,039","1,115","35,141","15,950",,,
2010,"18,876","69,577","73,108","1,139",450,"72,656","18,876","1,336","35,562","17,179",,,
2011,"13,007","72,226","76,283","4,187","1,532","75,666","13,007","1,458","44,947","18,009",,,
2015,"8,286","76,759","81,140",-548,-478,"80,114","8,286","1,536","29,757","18,691",,,
2016,"8,395","63,546","67,325","2,650","1,175","66,233","8,395","1,232","28,948","15,328",,,
2017,"19,094","61,326","67,996","-3,149","-1,548","64,312","19,094","1,281","21,535","14,316",,,
2018,"12,140","56,436","62,930",882,51,"59,176","12,140","1,090","19,531","12,703",,,
2019,"8,345","65,332","69,769",-467,-646,"68,114","8,345","1,414","21,386","14,915",,,
2020,"14,884","50,589","56,077",-875,"-1,173","53,223","14,884","1,061","16,703","10,373",,,
2021,"10,335","80,001","81,358","4,513","2,163","83,939","10,335","1,472","64,946","22,386",,,
2022,"9,328","65,698","71,000","7,165","3,588","69,635","9,328","1,502","41,838","17,301",,,
2023,"7,108","81,538","72,307","11,212","5,642","86,951","7,108","1,582","98,714","24,512",,,
2024,"7,309","78,775","79,290","6,221","2,847","83,131","7,309","1,565","79,669","21,954",,,
2025,"4,922","80,884","81,243","8,912","4,015","85,474","4,922","1,600","95,876","23,954",,,
2026,"23,071","71,040","74,113","6,019","2,636","74,644","23,071","1,568","49,496","18,142",,,
2027,"5,682","78,989","79,791","9,777","6,180","84,420","5,682","1,508","101,142","25,191",,,
2028,"3,352","80,051","79,976","12,827","5,649","85,009","3,352","1,538","126,744","23,388",,,
2029,"6,785","70,344","70,016","11,442","5,302","75,014","6,785","1,355","56,045","19,437",,,
2030,"9,539","76,172","64,417","11,413","5,804","80,906","9,539","1,130","107,674","23,833",,,
2031,"22,605","71,381","76,368","5,063","2,824","75,008","22,605","1,518","38,679","18,207",,,
2032,"8,893","49,792","55,120","4,597","2,812","52,410","8,893",780,"23,786","11,763",,,
2033,"7,245","56,864","61,805","4,772","1,827","59,893","7,245",975,"29,530","14,124",,,
2034,"13,886","73,502","76,580","6,136","2,564","77,407","13,886","1,574","41,010","19,151",,,
2035,"21,851","58,977","65,474","5,259","2,790","61,736","21,851","1,097","30,999","14,891",,,
2036,"19,449","56,896","62,906","3,136","1,421","59,678","19,449","1,104","23,573","13,278",,,
2037,"10,643","61,620","67,648","1,521","1,219","64,217","10,643","1,125","32,643","15,755",,,
2038,"6,067","73,968","79,645","3,002",852,"78,215","6,067","1,424","38,785","20,224",,,
2039,"5,803","83,920","90,185","1,239",319,"87,823","5,803","1,664","43,700","25,190",,,
2040,"13,934","75,386","80,822","1,709",382,"78,635","13,934","1,442","34,354","19,885",,,
2041,"10,490","82,344","89,422","3,284","1,461","87,272","10,490","1,670","61,431","25,869",,,
2042,"12,861","65,392","69,125","3,149","1,482","67,875","12,861","1,199","27,186","15,561",,,
2043,"6,771","83,078","86,689",94,-191,"86,094","6,771","1,615","29,812","20,768",,,
2044,"5,373","67,867","73,290","1,144",-186,"70,211","5,373","1,246","22,528","15,855",,,
2045,"4,045","63,752","68,388","6,779","3,647","66,807","4,045","1,100","44,305","18,376",,,
